City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guarapari,-20.6667,-40.4975,23.27,92,100,3.69,BR,2024-01-01
1,kodiak,57.79,-152.4072,-1.27,93,100,2.57,US,2024-01-01
2,albany,42.6001,-73.9662,0.78,80,100,0.62,US,2024-01-01
3,puerto ayora,-0.7393,-90.3518,24.19,96,15,2.91,EC,2024-01-01
4,haiku-pauwela,20.9219,-156.3051,23.01,75,20,3.6,US,2024-01-01
5,talnakh,69.4865,88.3972,-31.0,100,100,1.47,RU,2024-01-01
6,howrah,22.5892,88.3103,18.0,82,0,2.06,IN,2024-01-01
7,port-aux-francais,-49.35,70.2167,5.42,78,71,14.24,TF,2024-01-01
8,port elizabeth,-33.918,25.5701,20.05,96,100,3.6,ZA,2024-01-01
9,oodweyne,9.4092,45.064,21.7,24,39,4.03,SO,2024-01-01
10,weining,26.85,104.2333,12.13,47,24,4.11,CN,2024-01-01
11,ushuaia,-54.8,-68.3,8.81,61,0,7.2,AR,2024-01-01
12,zouerate,22.7187,-12.4521,15.22,26,20,2.78,MR,2024-01-01
13,papatowai,-46.5619,169.4708,16.03,64,62,8.14,NZ,2024-01-01
14,bethel,41.3712,-73.414,3.93,76,100,0.0,US,2024-01-01
15,adamstown,-25.066,-130.1015,22.61,85,100,9.21,PN,2024-01-01
16,san patricio,28.017,-97.5169,20.92,92,2,3.87,US,2024-01-01
17,nefta,33.8731,7.8777,11.42,49,79,2.25,TN,2024-01-01
18,bridgewater,44.3835,-64.5155,-1.18,87,88,3.09,CA,2024-01-01
19,tiksi,71.6872,128.8694,-29.03,99,100,1.31,RU,2024-01-01
20,uige,-7.6087,15.0613,19.75,99,100,0.52,AO,2024-01-01
21,hithadhoo,-0.6,73.0833,26.87,83,100,5.08,MV,2024-01-01
22,mahibadhoo,3.7833,72.9667,26.6,80,100,5.1,MV,2024-01-01
23,blackmans bay,-43.0167,147.3167,18.62,69,100,5.04,AU,2024-01-01
24,whitehorse,60.7161,-135.0538,-12.57,84,75,1.03,CA,2024-01-01
25,invercargill,-46.4,168.35,15.57,76,64,9.39,NZ,2024-01-01
26,jamestown,42.097,-79.2353,1.77,99,100,0.45,US,2024-01-01
27,manistee,44.2445,-86.3242,0.01,84,100,3.09,US,2024-01-01
28,jajpur,20.85,86.3333,25.07,36,0,1.71,IN,2024-01-01
29,nguigmi,14.2495,13.1092,17.32,28,0,5.05,NE,2024-01-01
30,saldanha,-33.0117,17.9442,23.03,70,0,4.34,ZA,2024-01-01
31,iqaluit,63.7506,-68.5145,-25.15,70,20,4.63,CA,2024-01-01
32,yellowknife,62.456,-114.3525,-8.71,79,100,9.77,CA,2024-01-01
33,enewetak,11.3474,162.3373,27.14,81,100,9.04,MH,2024-01-01
34,olyokminsk,60.3736,120.4264,-13.88,97,93,1.41,RU,2024-01-01
35,tolanaro,-25.0319,46.9987,24.04,94,75,4.12,MG,2024-01-01
36,bilibino,68.0546,166.4372,-29.89,85,93,2.06,RU,2024-01-01
